Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",27.1780,11.1760,90.0000,bottom
"C2","100nF","SMD-0805",29.9720,11.1760,90.0000,bottom
"D1","BZV55C-3,6V","Diode-MiniMELF_Standard",29.9720,16.0020,0.0000,bottom
"J1","JUMP_2X2","Pin_Header_Straight_2x02",5.0800,16.5100,-90.0000,top
"J2","JUMP_5X2","Pin_Header_Straight_2x05",5.0800,6.3500,90.0000,top
"J3","JUMP_3X2","Pin_Header_Straight_2x03",35.5600,15.2400,90.0000,top
"J4","CONN_2","Pin_Header_Straight_1x02",34.4170,6.3500,0.0000,top
"J5","CONN1_2","Pin_Header_Straight_1x02",14.0970,8.6360,-90.0000,top
"J6","JUMP_8X2","Pin_Header_Straight_2x08",20.3200,21.5900,0.0000,top
"J7","JUMP_8X2","Pin_Header_Straight_2x08",20.3200,-1.2700,180.0000,top
"J8","CONN1_2","Pin_Header_Straight_1x02",11.3030,8.6360,90.0000,top
"J9","CONN_2","Pin_Header_Straight_1x02",34.4170,3.5560,180.0000,top
"P1","_","MountingHole_3mm",5.0800,-5.0800,0.0000,top
"P2","_","MountingHole_3mm",35.5600,25.4000,0.0000,top
"P3","_","MountingHole_3mm",5.0500,25.4000,0.0000,top
"P4","_","MountingHole_3mm",35.5600,-5.0800,0.0000,top
"R1","10k","SMD-0805",8.8900,3.9370,-90.0000,bottom
"R2","10k","SMD-0805",11.3030,13.3350,90.0000,bottom
"R3","10k","SMD-0805",8.8900,7.6200,90.0000,bottom
"R4","10k","SMD-0805",13.7160,13.3350,90.0000,bottom
"R5","10k","SMD-0805",29.2100,26.6700,-90.0000,bottom
"R6","-","SMD-0805",11.4300,-6.4770,90.0000,bottom
"R7","10k","SMD-0805",26.6700,26.6700,-90.0000,bottom
"R8","-","SMD-0805",21.5900,-6.4770,90.0000,bottom
"R9","10k","SMD-0805",24.1300,26.6700,-90.0000,bottom
"R10","-","SMD-0805",16.5100,-6.4770,90.0000,bottom
"R11","10k","SMD-0805",21.5900,26.6700,-90.0000,bottom
"R12","-","SMD-0805",19.0500,-6.4770,90.0000,bottom
"R13","10k","SMD-0805",19.0500,26.6700,-90.0000,bottom
"R14","-","SMD-0805",13.9700,-6.4770,90.0000,bottom
"R15","10k","SMD-0805",13.9700,26.6700,-90.0000,bottom
"R16","10k","SMD-0805",16.5100,26.6700,-90.0000,bottom
"R17","-","SMD-0805",24.1300,-6.4770,90.0000,bottom
"R18","10k","SMD-0805",11.4300,26.6700,-90.0000,bottom
"R19","-","SMD-0805",26.6700,-6.4770,90.0000,bottom
"R20","-","SMD-0805",29.2100,-6.4770,90.0000,bottom
"R24","10k","SMD-0805",27.1780,7.3660,-90.0000,bottom
"U1","TCA6416A","TSSOP-28",21.0820,9.3980,0.0000,bottom
